2021.7.9,10Q,clem の 10の質問 公開,http://ichoose.pe.hu/collection/clem/
2021.6.9,10Q,Tiana Dueck の 10の質問 公開,http://ichoose.pe.hu/collection/tiana/
2021.5.27,10Q,Hiroki Yamasaki の 10の質問 公開,http://ichoose.pe.hu/collection/woopheadclrms/
2021.5.27,10Q,TRA-TRAVEL の 10の質問 公開,http://ichoose.pe.hu/collection/tratravel/
2021.5.3,10Q,FOLK old book store の 10の質問 公開,http://ichoose.pe.hu/collection/folkoldbookstore/
2021.4.28,The Answers are always inside of you,10の質問ページ にアンケート機能を追加,http://ichoose.pe.hu/10q/
2021.4.28,Let's Create Your 10 Questions,ウェブサイトに10の質問投稿ページを追加,http://ichoose.pe.hu/collection/
2020.12.15,50Q,大大大 chotto crazy 2020 MAX のための 50の質問 公開,http://ichoose.pe.hu/50q/cc2020/max/
2020.12.1,50Q,ステージ／暗室 のための 50の質問 公開,http://ichoose.pe.hu/50q/cc2020/main/
2020.11.15,50Q,アクティブパーク のための 50の質問 公開,http://ichoose.pe.hu/50q/cc2020/beta/
2020.10.15,50Q,こす のための 50の質問 公開,http://ichoose.pe.hu/50q/cc2020/pre-event/
2020.9.27,10Q,ちょっとクレイジーな仲間たち 2020　の10の質問 公開,http://ichoose.pe.hu/10q/
